"","film","revenue","adult","budget","language","popularity","runtime","vote.average","vote.count","id","tagline","release.date","genres"
"7395","Red Riding Hood",89162162,"False",42000000,"en",17.406,100,"5.9",2108,49730,"Who's afraid?","11/03/2011","[14, 27, 53]"
"7396","Teen Beach 2",0,"False",0,"en",17.424,104,"6.5",347,325189,"","26/06/2015","[35, 14, 10751, 10770]"
"7397","23-F: la película",0,"False",0,"es",17.442,105,"5.5",15,101411,"","23/02/2011","[18, 36]"
"7398","The Tale of the Princess Kaguya",24186232,"False",49300000,"ja",17.442,137,"8.1",753,149871,"A princess's crime and punishment","23/11/2013","[16, 18, 14]"
"7399","Rambo",0,"False",10000000,"en",17.457,92,"6.5",2065,7555,"Heroes never die... They just reload.","24/01/2008","[28, 53]"
"7400","Jason Bourne",415484914,"False",120000000,"en",17.458,123,"6.2",3899,324668,"You know his name","27/07/2016","[28, 53]"
"7401","Murder on the Orient Express",351839303,"False",55000000,"en",17.513,114,"6.7",6177,392044,"Everyone is a suspect","03/11/2017","[80, 18, 9648]"
"7402","Suburbicon",5775178,"False",25000000,"en",17.532,104,"5.8",1007,395458,"Welcome to the neighborhood","26/10/2017","[80, 18, 9648, 53]"
"7403","Treasure Planet",109578115,"False",140000000,"en",17.538,95,"7.4",2276,9016,"Find your place in the universe.","26/11/2002","[12, 16, 14, 878, 10751]"
"7404","Unfaithful",119137784,"False",50000000,"en",17.543,124,"6.4",648,2251,"Where do you go when you've gone too far?","10/05/2002","[53]"
"7405","Minority Report",358372926,"False",102000000,"en",17.548,145,"7.3",5198,180,"The system is perfect until it comes after you.","20/06/2002","[28, 53, 878, 9648]"
"7406","Okja",0,"False",50000000,"en",17.621,122,"7.5",2541,387426,"","28/06/2017","[12, 18, 878, 28]"
"7407","Indiana Jones and the Kingdom of the Crystal Skull",786636033,"False",185000000,"en",17.636,122,"5.9",5068,217,"The adventure continues . . .","21/05/2008","[28, 12]"
"7408","The Theory of Everything",123726688,"False",15000000,"en",17.639,123,"7.9",7119,266856,"His Mind Changed Our World. Her Love Changed His.","26/11/2014","[18, 10749]"
"7409","Sin City",158733820,"False",40000000,"en",17.649,124,"7.4",5152,187,"Walk down the right back alley in Sin City and you can find anything...","01/04/2005","[28, 80, 53]"
"7410","Tomb Raider",274650803,"False",94000000,"en",17.658,118,"6.3",5057,338970,"Her legend begins","05/03/2018","[28, 12, 14]"
"7411","The Adjustment Bureau",127869379,"False",50200000,"en",17.687,106,"6.7",2903,38050,"Fight for your fate.","03/03/2011","[878, 53, 10749]"
"7412","Godzilla",529076069,"False",160000000,"en",17.693,123,"6.1",5650,124905,"The world ends, Godzilla begins.","14/05/2014","[28, 18, 878]"
"7413","Shot Caller",0,"False",0,"en",17.706,121,"6.9",1195,339692,"Some criminals are made in prison","13/07/2017","[80, 18, 53]"
"7414","Mr. Peabody & Sherman",272912430,"False",145000000,"en",17.711,92,"6.6",1507,82703,"He's Leaving His Mark On History","07/02/2014","[12, 16, 10751]"
"7415","The Wedding Ringer",79799880,"False",23000000,"en",17.72,101,"6.5",1062,252838,"He's the best man... money can buy.","16/01/2015","[35]"
"7416","RED",71664962,"False",58000000,"en",17.725,111,"6.6",4527,39514,"Still armed. Still dangerous. Still got it.","13/10/2010","[28, 12, 35, 80, 53]"
"7417","Now You See Me 2",334901337,"False",90000000,"en",17.743,129,"6.8",7498,291805,"You Haven't Seen Anything Yet","02/06/2016","[28, 35, 53]"
"7418","In Time",173930596,"False",40000000,"en",17.753,109,"6.9",7029,49530,"Time Is Power","27/10/2011","[28, 878, 53]"
"7419","Ferdinand",295038508,"False",111000000,"en",17.753,107,"7.1",1639,364689,"Built To Fight. Born To Love","09/12/2017","[12, 16, 35, 10751]"
"7420","Rendition",24748670,"False",27500000,"en",17.769,120,"6.5",380,5125,"What if someone you love... just disappeared?","07/09/2007","[18, 53]"
"7421","Alice Through the Looking Glass",299457024,"False",170000000,"en",17.783,113,"6.5",4312,241259,"It's time for a little madness.","25/05/2016","[12, 14, 10751]"
"7422","Cheeky",0,"False",0,"it",17.799,91,"5.6",95,22705,"","28/01/2000","[35, 18, 10749]"
"7423","Prisoners",122126687,"False",46000000,"en",17.807,153,"8",6546,146233,"Every moment matters.","18/09/2013","[80, 18, 53]"
"7424","Spider-Man 3",890871626,"False",258000000,"en",17.825,139,"6.2",8110,559,"The battle within.","01/05/2007","[28, 12, 14]"
"7425","St. Vincent",54837234,"False",13000000,"en",17.833,102,"7.1",1177,239563,"Love Thy Neighbor","09/10/2014","[35]"
"7426","The Bourne Legacy",276572938,"False",130000000,"en",17.837,135,"6.1",3931,49040,"There Was Never Just One","08/08/2012","[28, 53]"
"7427","The Human Centipede 2 (Full Sequence)",0,"False",0,"en",17.855,91,"4.5",694,74997,"100% medically INaccurate.","06/10/2011","[18, 27, 80]"
"7428","The Da Vinci Code",767820459,"False",125000000,"en",17.877,149,"6.7",5822,591,"Seek the truth","17/05/2006","[9648, 53]"
"7429","Hunter Killer",0,"False",0,"en",17.878,122,"6.4",926,399402,"Courage runs deep","19/10/2018","[28, 53]"
"7430","Re: Zero kara Hajimeru Isekai Seikatsu - Memory Snow",0,"False",0,"ja",17.884,60,"6.5",44,532321,"","06/10/2018","[12, 16]"
"7431","Star Wars: Episode II - Attack of the Clones",649398328,"False",120000000,"en",17.89,142,"6.5",8270,1894,"A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.","15/05/2002","[28, 12, 878]"
"7432","Dumb and Dumber To",169837010,"False",40000000,"en",17.928,110,"5.5",2049,100042,"The Second Parts Are More Fools","12/11/2014","[35]"
"7433","Kingsman: The Golden Circle",410902662,"False",104000000,"en",17.933,141,"6.9",6277,343668,"Reports of my death have been greatly exaggerated.","20/09/2017","[28, 12, 35]"
"7434","The Twilight Saga: Breaking Dawn - Part 2",8.29e+08,"False",120000000,"en",17.934,115,"6.3",5724,50620,"The epic finale that will live forever.","13/11/2012","[12, 18, 14, 10749]"
"7435","The Exorcism of Emily Rose",144216468,"False",19000000,"en",17.936,122,"6.4",1592,8643,"What happened to Emily?","09/09/2005","[80, 18, 27, 53]"
"7436","Déjà Vu",180557550,"False",75000000,"en",17.954,126,"6.8",2826,7551,"If you think it's just a feeling, go back... and look again.","22/11/2006","[28, 878, 53]"
"7437","The Social Network",224920315,"False",40000000,"en",17.974,121,"7.3",7038,37799,"You don't get to 500 million friends without making a few enemies.","01/10/2010","[18]"
"7438","The Circle",20497844,"False",18000000,"en",17.976,110,"5.5",3045,339988,"Knowing is good. Knowing everything is better.","27/04/2017","[18, 53, 878]"
"7439","Riddick",98337295,"False",38000000,"en",17.987,119,"6.2",2710,87421,"Survival Is His Revenge","02/09/2013","[28, 878, 53]"
"7440","Kill Bill: Vol. 2",152159461,"False",30000000,"en",17.991,136,"7.8",8691,393,"Sid Haig, back again for another masterpiece!","16/04/2004","[28, 80, 53]"
"7441","Left Behind",19682924,"False",16000000,"en",18.014,110,"4",806,218043,"The End Begins","03/10/2014","[28, 878, 53]"
"7442","Total Recall",198802074,"False",125000000,"en",18.026,121,"5.9",3787,64635,"What Is Real?","02/08/2012","[28, 12, 878, 53]"
"7443","Men in Black 3",624026776,"False",225000000,"en",18.026,106,"6.4",7125,41154,"They are back... in time.","23/05/2012","[28, 35, 878]"
"7444","The Judge",83719388,"False",50000000,"en",18.033,141,"7.3",2601,205587,"Defend your Honor.","08/10/2014","[18]"
"7445","Madagascar: Escape 2 Africa",603900354,"False",150000000,"en",18.058,89,"6.4",4307,10527,"Still together. Still lost!","30/10/2008","[16, 35, 10751]"
"7446","Knowing",155446362,"False",50000000,"en",18.083,121,"6",3059,13811,"429733","19/03/2009","[28, 12, 18, 9648, 878, 53]"
"7447","The Favourite",82124805,"False",15000000,"en",18.099,120,"7.6",2938,375262,"","23/11/2018","[18, 36, 35]"
"7448","The Croods",587204668,"False",135000000,"en",18.11,98,"6.8",4307,49519,"Meet the first modern family.","20/03/2013","[28, 12, 16, 35, 14, 10751]"
"7449","Playing It Cool",0,"False",0,"en",18.129,94,"5.9",469,277547,"Love... it's a balancing act","26/09/2014","[35, 10749]"
"7450","Black Swan",327803731,"False",13000000,"en",18.136,108,"7.6",9342,44214,"","03/12/2010","[18, 53, 27]"
"7451","The Girl with the Dragon Tattoo",109421911,"False",13000000,"sv",18.153,152,"7.5",1793,15472,"Based on the Worldwide Best Seller","27/02/2009","[80, 18, 9648, 53]"
"7452","Captain America: The First Avenger",370569774,"False",140000000,"en",18.155,124,"6.9",14230,1771,"When patriots become heroes","22/07/2011","[28, 12, 878]"
"7453","Transformers: Age of Extinction",1091405097,"False",210000000,"en",18.163,165,"5.8",5266,91314,"This is not war. It's extinction.","25/06/2014","[28, 12, 878]"
"7454","Monsters University",743559607,"False",200000000,"en",18.167,104,"7",7043,62211,"School never looked this scary.","20/06/2013","[16, 10751]"
"7455","Ocean's Eight",297718711,"False",70000000,"en",18.175,111,"6.9",4573,402900,"Every con has its pros","07/06/2018","[28, 35, 80, 53]"
"7456","Red Sparrow",147988192,"False",69000000,"en",18.183,140,"6.5",3925,401981,"Seduce. Deceive. Repeat.","28/02/2018","[9648, 53]"
"7457","RoboCop",242688965,"False",120000000,"en",18.217,102,"5.8",3699,97020,"We've got the future under control.","30/01/2014","[28, 878]"
"7458","Annihilation",43070915,"False",40000000,"en",18.228,115,"6.3",5241,300668,"Fear what's inside.","22/02/2018","[27, 878]"
"7459","The Dark Tower",113231078,"False",60000000,"en",18.253,95,"5.6",3275,353491,"There are other worlds than these","03/08/2017","[28, 12, 14, 878]"
"7460","Valerian and the City of a Thousand Planets",225874228,"False",177200000,"en",18.278,136,"6.5",4710,339964,"A universe without boundaries needs heroes without limits.","20/07/2017","[12, 878, 28]"
"7461","Ice Age: Collision Course",408579038,"False",105000000,"en",18.289,100,"5.9",2713,278154,"One small step. One giant mess.","23/06/2016","[12, 16, 35, 10751]"
"7462","Donnie Darko",1270522,"False",6000000,"en",18.301,114,"7.8",7689,141,"You can never go too far","18/01/2001","[18, 14, 9648]"
"7463","Mirror Mirror",183018522,"False",85000000,"en",18.307,106,"5.9",2353,62764,"The Snow White legend comes alive.","15/03/2012","[12, 35, 18, 14, 10751]"
"7464","Sully",240797623,"False",60000000,"en",18.31,96,"7.1",4425,363676,"The Untold Story Behind the Miracle on the Hudson.","07/09/2016","[18, 36]"
"7465","Shrek 2",919838758,"False",150000000,"en",18.312,93,"7",7108,809,"Once upon another time...","19/05/2004","[12, 16, 35, 10751, 14]"
"7466","Trainwreck",140795793,"False",35000000,"en",18.319,125,"5.8",1886,271718,"We All Know One.","17/07/2015","[35, 10749]"
"7467","The Lorax",348840316,"False",70000000,"en",18.321,86,"6.4",2063,73723,"Meet The Original Force Of Nature","01/03/2012","[16, 10751]"
"7468","The Prince",0,"False",18000000,"en",18.327,93,"4.8",336,241254,"Mercy is for the Weak","22/08/2014","[28, 53]"
"7469","Percy Jackson & the Olympians: The Lightning Thief",226497209,"False",95000000,"en",18.365,119,"6.1",4828,32657,"Worlds Collide","01/02/2010","[12, 14, 10751]"
"7470","Zombieland",102391540,"False",23600000,"en",18.367,88,"7.2",7798,19908,"Nut up or shut up.","07/10/2009","[35, 27]"
"7471","Mortdecai",30418560,"False",60000000,"en",18.385,106,"5.4",1851,210860,"Sophistication Has a Name.","21/01/2015","[12, 35]"
"7472","The Butterfly Effect",96060858,"False",13000000,"en",18.418,113,"7.5",4363,1954,"Such minor changes, such huge consequences.","22/01/2004","[878, 53]"
"7473","Texas Chainsaw 3D",0,"False",10000000,"en",18.418,92,"5.3",901,76617,"Evil wears many faces.","03/01/2013","[27, 53]"
"7474","The Drop",19054534,"False",12600000,"en",18.434,106,"6.7",1356,154400,"","12/09/2014","[18, 80]"
"7475","Ice Princess",27645491,"False",25000000,"en",18.436,98,"6.1",573,13374,"Big things happen to those who dream big.","17/03/2005","[35, 18, 10751]"
"7476","Undisputed III: Redemption",0,"False",3000000,"en",18.443,96,"7.4",348,38234,"One deadly tournament. Last fight for freedom.","22/05/2010","[28, 53]"
"7477","Baywatch",177856751,"False",69000000,"en",18.463,116,"6.1",5407,339846,"Don't worry, summer is coming","12/05/2017","[28, 35]"
"7478","Die Another Day",431971116,"False",140000000,"en",18.466,133,"5.9",2073,36669,"He’s never been cooler.","17/11/2002","[28, 12, 53]"
"7479","Her",47351251,"False",23000000,"en",18.487,126,"7.9",9057,152601,"A Spike Jonze Love Story","18/12/2013","[18, 878, 10749]"
"7480","Overlord",41657844,"False",38000000,"en",18.539,110,"6.6",1441,438799,"Stop the unstoppable","01/11/2018","[27, 878, 10752]"
"7481","Ice Age: The Meltdown",660940780,"False",80000000,"en",18.543,91,"6.6",6512,950,"The Chill is Gone.","29/03/2006","[12, 16, 35, 10751]"
"7482","Stonehearst Asylum",0,"False",0,"en",18.597,112,"6.8",800,207933,"No one is what they seem.","11/09/2014","[53]"
"7483","Only the Brave",25754775,"False",38000000,"en",18.599,133,"7.1",736,395991,"It’s not what stands in front of you, it’s who stands beside you","22/09/2017","[18, 28]"
"7484","Star Trek Beyond",343471816,"False",185000000,"en",18.63,122,"6.7",4637,188927,"","07/07/2016","[28, 12, 878]"
"7485","Hacksaw Ridge",175302354,"False",40000000,"en",18.636,139,"8.1",7494,324786,"One of the greatest heroes in American history never fired a bullet.","07/10/2016","[18, 36, 10752]"
"7486","Watchmen",185258983,"False",130000000,"en",18.674,163,"7.3",5686,13183,"Justice is coming to all of us.  No matter what we do.","05/03/2009","[28, 9648, 878]"
"7487","The Predator",160542134,"False",88000000,"en",18.699,107,"5.3",2492,346910,"The hunt has evolved","05/09/2018","[28, 12, 35, 27, 878, 53]"
"7488","The November Man",32556119,"False",15000000,"en",18.704,108,"6.1",946,254904,"A spy is never out of the game.","27/08/2014","[28, 80, 53]"
"7489","A Walk Among the Tombstones",53181600,"False",28000000,"en",18.713,113,"6.3",1836,169917,"Some people are afraid of all the wrong things","18/09/2014","[80, 18, 9648, 53]"
"7490","There Will Be Blood",77208711,"False",25000000,"en",18.734,158,"8.1",3420,7345,"There Will Be Greed. There Will Be Vengeance.","28/12/2007","[18]"
"7491","The First Purge",137056262,"False",13000000,"en",18.763,97,"5.8",2207,442249,"A Nation Reborn","04/07/2018","[28, 27, 878, 53]"
"7492","The Intouchables",426480871,"False",13000000,"fr",18.793,113,"8.2",11064,77338,"Sometimes you have to reach into someone else's world to find out what's missing in your own.","02/11/2011","[35, 18]"
"7493","Catch Me If You Can",352114312,"False",52000000,"en",18.859,141,"7.9",8512,640,"The true story of a real fake.","25/12/2002","[80, 18]"
"7494","Rogue One: A Star Wars Story",1056057273,"False",200000000,"en",18.872,133,"7.5",10396,330459,"A Rebellion Built on Hope","14/12/2016","[28, 12, 878]"
"7495","Kung Fu Panda 3",521170825,"False",145000000,"en",18.877,95,"6.7",3271,140300,"Grab destiny by the rice dumplings.","23/01/2016","[28, 12, 16, 35, 10751]"
"7496","The SpongeBob SquarePants Movie",140161792,"False",30000000,"en",18.925,87,"6.7",1479,11836,"Bigger. Better. More absorbent.","14/11/2004","[16, 35, 10751]"
"7497","The Hitman's Bodyguard",176586701,"False",30000000,"en",18.937,118,"6.7",3543,390043,"Get Triggered","16/08/2017","[28, 35]"
"7498","The Lion King 1½",0,"False",0,"en",18.985,77,"6.5",1880,11430,"You Don't Know The ½ Of It!","06/02/2004","[16, 35, 10751]"
"7499","Wild and Free",0,"False",0,"tl",18.991,106,"6.2",13,553100,"","10/10/2018","[18]"
"7500","The Fighter",93617009,"False",25000000,"en",19.018,116,"7.3",2630,45317,"Every dream deserves a fighting chance.","17/12/2010","[18]"
"7501","Star Trek Into Darkness",467365246,"False",190000000,"en",19.027,132,"7.3",6669,54138,"Earth Will Fall","05/05/2013","[28, 12, 878]"
"7502","Gnomeo & Juliet",189712432,"False",36000000,"en",19.038,84,"5.8",1243,45772,"A LITTLE ADVENTURE GOES A LAWN WAY.","13/01/2011","[16, 10751]"
"7503","Charlie and the Chocolate Factory",474968763,"False",150000000,"en",19.039,115,"7",9366,118,"Prepare for a taste of adventure.","13/07/2005","[12, 35, 14, 10751]"
"7504","Power Rangers",142337240,"False",100000000,"en",19.039,124,"6.2",2981,305470,"Together we are more","23/03/2017","[28, 12, 878]"
"7505","Atomic Blonde",95673925,"False",30000000,"en",19.047,115,"6.3",4129,341013,"Talents can be overrated.","26/07/2017","[28, 9648, 53]"
"7506","The Hangover",459270619,"False",35000000,"en",19.049,100,"7.3",11472,18785,"Some guys just can't handle Vegas.","02/06/2009","[35]"
"7507","Survivor",0,"False",20000000,"en",19.056,96,"5.5",640,334074,"His Next Target is Now Hunting Him","21/05/2015","[28, 80, 53]"
"7508","Escape Plan 2: Hades",0,"False",0,"en",19.087,93,"4.8",718,440471,"He's back.","05/06/2018","[28]"
"7509","Memento",39723096,"False",9000000,"en",19.091,113,"8.2",8861,77,"Some memories are best forgotten.","11/10/2000","[9648, 53]"
"7510","Burning",6591038,"False",7080000,"ko",19.093,148,"7.4",565,491584,"The truth is all in your head.","17/05/2018","[9648, 18, 53]"
"7511","Sub Rosa",0,"False",0,"en",19.096,22,"0",0,546726,"","28/08/2014","[]"
"7512","Suicide Squad",745600054,"False",176000000,"en",19.116,123,"5.9",14898,297761,"Worst Heroes Ever","03/08/2016","[28, 12, 80, 14, 878]"
"7513","Pacific Rim: Uprising",290061297,"False",150000000,"en",19.122,111,"5.9",2683,268896,"Rise Up","21/03/2018","[28, 14, 878, 12]"
"7514","Geostorm",221600160,"False",120000000,"en",19.137,109,"5.8",2556,274855,"Some things were never meant to be controlled.","13/10/2017","[28, 878, 53]"
"7515","Me Before You",207945075,"False",20000000,"en",19.142,110,"7.7",6687,296096,"Live boldly","01/06/2016","[18, 10749]"
"7516","Amélie",173921954,"False",10000000,"fr",19.15,122,"7.9",7085,194,"One person can change your life forever.","25/04/2001","[35, 10749]"
"7517","Now You See Me",117698894,"False",75000000,"en",19.16,116,"7.4",10910,75656,"4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.","29/05/2013","[53, 80]"
"7518","12 Strong",67131266,"False",35000000,"en",19.162,130,"5.8",1568,429351,"The declassified true story of the horse soldiers","16/01/2018","[28, 18, 36, 10752]"
"7519","The Snowman",43203413,"False",35000000,"en",19.18,119,"5.1",1396,372343,"Soon the first snow will come, and then he will kill again.","12/10/2017","[80, 53]"
"7520","Shoplifters",0,"False",0,"ja",19.212,121,"8",818,505192,"","02/06/2018","[80, 18]"
"7521","Prince of Persia: The Sands of Time",335154643,"False",150000000,"en",19.228,116,"6.2",4516,9543,"Defy the Future","19/05/2010","[28, 12, 14, 10749]"
"7522","Trolls",346864462,"False",125000000,"en",19.268,92,"6.6",2097,136799,"Find your happy place","13/10/2016","[12, 16, 35, 14, 10402, 10751]"
"7523","xXx: Return of Xander Cage",346147658,"False",85000000,"en",19.272,107,"5.6",2700,47971,"There are no more patriots, just rebels and tyrants.","13/01/2017","[28, 12, 80]"
"7524","The Bourne Identity",214034224,"False",60000000,"en",19.293,119,"7.4",5955,2501,"He was the perfect weapon until he became the target.","14/06/2002","[28, 18, 9648, 53]"
"7525","Horrible Bosses 2",107670357,"False",42000000,"en",19.296,108,"6.1",2833,227159,"New Crime. Same Tools.","26/11/2014","[35]"
"7526","Annie",133821816,"False",65000000,"en",19.302,119,"6.2",879,196867,"It's a Hard Knock Life","19/12/2014","[35, 18, 10751]"
"7527","The Departed",289847354,"False",90000000,"en",19.346,151,"8.1",9010,1422,"Lies. Betrayal. Sacrifice. How far will you take it?","05/10/2006","[18, 53, 80]"
"7528","Megamind",321885765,"False",130000000,"en",19.378,96,"6.8",4126,38055,"His brain is off the chain.","28/10/2010","[28, 16, 35, 878, 10751]"
"7529","Capernaum",64978931,"False",4000000,"ar",19.38,126,"8.3",622,517814,"""Why are you suing your parents?"" ""For giving me life.""","06/10/2018","[18]"
"7530","The Longest Ride",63013281,"False",34000000,"en",19.385,128,"7.5",2125,228205,"Two couples. Two love stories. One epic tale.","09/04/2015","[18, 10749]"
"7531","Elysium",286140700,"False",115000000,"en",19.389,109,"6.4",5917,68724,"He can save us all.","07/08/2013","[28, 18, 878, 53]"
"7532","Transformers: The Last Knight",605425157,"False",217000000,"en",19.408,149,"6",3636,335988,"For one world to live, the other must die.","16/06/2017","[28, 12, 878, 53]"
"7533","In the Heart of the Sea",93820758,"False",100000000,"en",19.412,122,"6.6",2441,205775,"Based on the incredible true story that inspired Moby Dick","20/11/2015","[53, 18, 12, 28, 36]"
"7534","The Amazing Spider-Man 2",705717432,"False",200000000,"en",19.428,142,"6.4",8010,102382,"No more secrets.","16/04/2014","[28, 12, 14]"
"7535","Baby Driver",226945087,"False",34000000,"en",19.428,113,"7.4",9392,339403,"All you need is one killer track.","28/06/2017","[28, 80]"
"7536","Sherlock Holmes: A Game of Shadows",334615000,"False",125000000,"en",19.465,129,"7.1",7061,58574,"The game is afoot.","22/11/2011","[28, 12, 80, 9648]"
"7537","The Twilight Saga: Eclipse",698491347,"False",68000000,"en",19.466,124,"6.1",5529,24021,"It all begins... with a choice.","23/06/2010","[12, 18, 14, 10749]"
"7538","Ocean's Eleven",450717150,"False",85000000,"en",19.476,116,"7.4",7403,161,"Are you in or out?","07/12/2001","[53, 80]"
"7539","Saw",103911669,"False",1200000,"en",19.574,103,"7.4",5402,176,"Live or die. Make your choice.","01/10/2004","[80, 27, 9648]"
"7540","Creed II",137944327,"False",50000000,"en",19.589,130,"6.8",2835,480530,"There's More to Lose than a Title","21/11/2018","[18]"
"7541","Batman: The Dark Knight Returns, Part 2",0,"False",3500000,"en",19.597,78,"7.9",795,142061,"Justice Returns... Vengeance Returns... Redemption Comes to Gotham.","18/01/2013","[28, 16, 9648]"
"7542","I Am Legend",585349010,"False",150000000,"en",19.656,101,"7.1",9984,6479,"The last man on Earth is not alone","14/12/2007","[28, 18, 27, 878, 53]"
"7543","The Twilight Saga: New Moon",709827462,"False",50000000,"en",19.656,131,"5.8",5807,18239,"The Next Chapter Begins.","15/03/2009","[12, 18, 14, 10749]"
"7544","Exodus: Gods and Kings",268031828,"False",140000000,"en",19.688,150,"5.8",3164,147441,"Once brothers, now enemies.","03/12/2014","[28, 12, 18]"
"7545","Jigsaw",102952888,"False",10000000,"en",19.722,92,"6.1",2160,298250,"A New Game Begins.","26/10/2017","[80, 27, 9648, 53]"
"7546","Before I Go to Sleep",15447154,"False",22000000,"en",19.727,92,"6.5",1236,204922,"Who do you trust?","03/09/2014","[9648, 53]"
"7547","The Conjuring",319494638,"False",13000000,"en",19.742,112,"7.5",6711,138843,"Based on the true case files of the Warrens","20/03/2013","[27, 53]"
"7548","Star Wars: Episode III - Revenge of the Sith",8.5e+08,"False",113000000,"en",19.758,140,"7.3",8544,1895,"The saga is complete.","17/05/2005","[28, 12, 878]"
"7549","Memories of Murder",2.6e+07,"False",2800000,"ko",19.776,131,"8.1",1266,11423,"The worst of them will stay with you... forever","02/05/2003","[80, 18, 53]"
"7550","The Hunt",18309793,"False",3800000,"da",19.793,116,"8.1",1850,103663,"The lie is spreading.","24/09/2012","[18]"
"7551","Divergent",288747895,"False",0,"en",19.8,139,"6.9",9115,157350,"What makes you different makes you dangerous.","14/03/2014","[28, 12, 878]"
"7552","Mission: Impossible III",397850012,"False",150000000,"en",19.833,126,"6.6",4030,956,"The Mission Begins 05:05:06.","03/05/2006","[28, 12, 53]"
"7553","Shanghai Noon",56932305,"False",55000000,"en",19.852,110,"6.3",1509,8584,"The old west meets the far east.","26/05/2000","[28, 12, 35, 37]"
"7554","American Pie Presents: The Naked Mile",27500000,"False",15000000,"en",19.885,97,"5.4",1199,8275,"The most outrageous slice of pie!","07/12/2006","[35]"
"7555","Rampage",426245950,"False",120000000,"en",19.886,107,"6.2",3745,427641,"Big meets bigger","12/04/2018","[28, 12, 14, 878]"
"7556","The Handmaiden",37767206,"False",8575000,"ko",19.915,145,"8.3",1558,290098,"","01/06/2016","[18, 53, 10749]"
"7557","Robin Hood",73260114,"False",100000000,"en",19.94,116,"5.8",1688,375588,"The legend you know. The story you don't.","21/11/2018","[28, 12, 53]"
"7558","Last Knights",3643591,"False",0,"en",19.942,115,"6.3",599,308504,"","03/04/2015","[28, 12]"
"7559","Train to Busan",87547518,"False",8820000,"ko",19.984,118,"7.7",3165,396535,"Life-or-death survival begins.","20/07/2016","[28, 27, 53]"
"7560","Kick-Ass 2",60700000,"False",28000000,"en",20.102,103,"6.4",4170,59859,"You Can't Fight Your Destiny.","17/07/2013","[28, 12, 80]"
"7561","Black Hawk Down",172989651,"False",92000000,"en",20.108,145,"7.3",3308,855,"Leave No Man Behind.","28/12/2001","[28, 36, 10752]"
"7562","Hairspray",90450008,"False",50000000,"en",20.141,117,"6.6",1724,2976,"When you follow your own beat, the world will follow you.","13/07/2007","[35, 18, 10749]"
"7563","First Man",100546153,"False",70000000,"en",20.141,141,"7.1",3109,369972,"One giant leap into the unknown","11/10/2018","[36, 18]"
"7564","Lady Bird",76858273,"False",10000000,"en",20.145,95,"7.3",4633,391713,"Fly Away Home.","08/09/2017","[35, 18]"
"7565","Ghost in the Shell",169801921,"False",110000000,"en",20.152,107,"6",5664,315837,"There's nothing sadder than a puppet without a ghost.","29/03/2017","[28, 18, 878, 53]"
"7566","Pan's Labyrinth",83258226,"False",19000000,"es",20.155,118,"7.7",6750,1417,"What happens when make-believe believes it's real?","25/08/2006","[18, 14, 10752]"
"7567","The Twilight Saga: Breaking Dawn - Part 1",712171856,"False",110000000,"en",20.168,117,"6",5677,50619,"Forever is just the beginning","15/03/2011","[12, 14, 10749]"
"7568","Green Lantern",219851172,"False",200000000,"en",20.175,114,"5.1",4818,44912,"In our darkest hour, there will be light.","16/06/2011","[28, 12, 878, 53]"
"7569","The Hunger Games: Mockingjay - Part 2",653428261,"False",160000000,"en",20.177,137,"6.9",8311,131634,"The fire will burn forever.","18/11/2015","[28, 12, 878]"
"7570","Ice Age",383257136,"False",59000000,"en",20.191,81,"7.3",8411,425,"They came. They thawed. They conquered.","10/03/2002","[12, 16, 35, 10751]"
"7571","World War Z",531865000,"False",200000000,"en",20.194,116,"6.7",10078,72190,"Remember Philly!","20/06/2013","[28, 18, 27, 878, 53]"
"7572","The Aviator",1.02e+08,"False",110000000,"en",20.236,170,"7.2",3137,2567,"For some men, the sky was the limit. For him, it was just the beginning.","17/12/2004","[18]"
"7573","Poltergeist",95437994,"False",35000000,"en",20.243,93,"5.1",1607,243688,"They're Here. And They Know What Scares You.","20/05/2015","[27, 53]"
"7574","Master and Commander: The Far Side of the World",212011111,"False",150000000,"en",20.27,138,"7.1",1704,8619,"The courage to do the impossible lies in the hearts of men.","14/11/2003","[12, 18, 10752]"
"7575","Automata",0,"False",7000000,"en",20.275,110,"5.7",1034,262543,"Your time is coming to an end – Ours is now beginning","09/10/2014","[53, 878]"
"7576","10 Cloverfield Lane",108286421,"False",15000000,"en",20.306,104,"6.9",5109,333371,"Monsters come in many forms.","10/03/2016","[18, 27, 878, 53]"
"7577","Tangled",591794936,"False",260000000,"en",20.34,100,"7.6",7235,38757,"They're taking adventure to new lengths.","24/11/2010","[16, 10751]"
"7578","The Prestige",109676311,"False",40000000,"en",20.341,130,"8.2",9370,1124,"Are You Watching Closely?","19/10/2006","[18, 9648, 53]"
"7579","Kubo and the Two Strings",69929545,"False",60000000,"en",20.35,102,"7.7",2323,313297,"The quest begins","18/08/2016","[12, 16, 10751]"
"7580","Nymphomaniac: Vol. II",2227167,"False",0,"en",20.361,124,"6.7",1716,249397,"Forget About Love","25/12/2013","[18, 9648]"
"7581","The Grinch",508575295,"False",75000000,"en",20.388,90,"6.5",1530,360920,"Scheme big.","08/11/2018","[16, 35, 14, 10751]"
