"","film","revenue","adult","budget","language","popularity","runtime","vote.average","vote.count","id","tagline","release.date","genres"
"1638","The Party",0,"False",0,"fr",8.368,110,"6.6",669,166,"","01/01/1980","[18, 10749, 35, 10751]"
"1639","Saturn 3",0,"False",0,"en",6.607,95,"5.5",105,19761,"Some thing is watching... waiting... and wanting on...","15/02/1980","[878, 53]"
"1640","Maniac",0,"False",350000,"en",7.853,87,"6.4",170,27346,"I warned you not to go out tonight.","07/11/1980","[27]"
"1641","Moscow Does Not Believe in Tears",2500000,"False",900000,"ru",5.284,142,"7.9",99,21028,"","11/02/1980","[35, 18, 10749]"
"1642","Fame",21202829,"False",0,"en",5.562,134,"6.4",218,3537,"If they've really got what it takes, it's going to take everything they've got.","16/05/1980","[18, 10402]"
"1643","The Changeling",1.2e+07,"False",0,"en",7.303,103,"7",264,13550,"Whatever you do… Don't go into the attic","28/03/1980","[27]"
"1644","Private Benjamin",0,"False",0,"en",8.032,109,"6.1",189,10765,"","06/10/1980","[35]"
"1645","Little Lord Fauntleroy",0,"False",0,"en",6.278,103,"7.4",139,38602,"","25/11/1980","[18, 10751, 10770]"
"1646","Urban Cowboy",0,"False",0,"en",6.777,132,"6.1",105,17496,"Hard Hat Days And Honky-Tonk Nights.","06/06/1980","[18, 10749]"
"1647","The Mirror Crack'd",1.1e+07,"False",0,"en",5.629,105,"6",87,6028,"Mirror, mirror on the wall, who is the murderer among them all?","19/09/1980","[80, 53, 9648]"
"1648","Terror Train",0,"False",3500000,"en",6.988,97,"6.1",99,40969,"The boys and girls of Sigma Phi. Some will live. Some will die.","03/10/1980","[27, 53]"
"1649","Stir Crazy",101300000,"False",0,"en",8.06,111,"6.6",220,21629,"Two jailbirds who just want out of the cage.","12/12/1980","[35]"
"1650","The Long Riders",15795189,"False",10000000,"en",5.043,99,"6.7",93,14729,"""All the world likes an outlaw. For some damn reason they remember 'em."" - Jesse James","12/05/1980","[36, 37]"
"1651","Xanadu",22471595,"False",20000000,"en",7.003,96,"5.3",112,15668,"A Fantasy, A Musical, A Place Where Dreams Come True.","08/08/1980","[14, 10402, 878, 10749]"
"1652","Heaven's Gate",3484331,"False",44000000,"en",6.751,219,"6.8",142,10935,"The only thing greater than their passion for America... was their passion for each other.","19/11/1980","[18, 37]"
"1653","Atlantic City",12729675,"False",7200000,"en",6.495,104,"7",103,23954,"She made him become what he always wanted to be - a lover, a hero, a rich man...and a killer!","02/09/1980","[80, 18, 10749]"
"1654","Used Cars",11715321,"False",8000000,"en",6.936,113,"6.4",113,14475,"Like new, great looking and fully loaded with laughs.","11/07/1980","[28, 35]"
"1655","The Stunt Man",0,"False",0,"en",5.24,131,"7",67,42160,"""If God could do the things that we can do, he'd be a happy man . . .""","27/06/1980","[28, 35, 18, 53]"
"1656","Doraemon: Nobita's Dinosaur",0,"False",0,"ja",6.837,100,"6",12,64789,"","15/03/1980","[12, 16, 14, 878, 10751]"
"1657","Where the Buffalo Roam",6659377,"False",0,"en",5.459,99,"6.2",83,13005,"This ain't no safari- it's a party","25/04/1980","[35, 18, 36]"
"1658","Altered States",19853892,"False",15000000,"en",9.022,102,"6.7",324,11542,"When he heard his cry for help it wasn't human","25/12/1980","[27, 878, 53]"
"1659","Flatfoot in Egypt",0,"False",0,"it",5.474,104,"6.3",67,11160,"","01/03/1980","[28, 35, 80, 18]"
"1660","Super Fuzz",0,"False",0,"it",5.948,104,"6.4",177,11333,"Dave Speed is saving the world from crime... but who is saving the world from Dave Speed?","18/09/1980","[28, 35, 14, 878]"
"1661","The Women of Quiet Country",0,"False",0,"en",3.789,91,"3.3",4,332291,"","24/03/1980","[18]"
"1662","The Miser",0,"False",0,"fr",6.432,125,"6.3",229,11680,"","05/03/1980","[35]"
"1663","Christmas Evil",0,"False",750000,"en",6.118,100,"5.6",73,27230,"Better Watch Out... Better Not Cry... Or You May DIE!","01/11/1980","[18, 27, 53]"
"1664","Stardust Memories",10389003,"False",10000000,"en",5.869,89,"7.1",212,11337,"","26/09/1980","[35, 18, 10749]"
"1665","Gloria",4059673,"False",0,"en",7.156,123,"6.9",83,10889,"And she's out to beat the mob at their own game.","01/10/1980","[80, 18, 53]"
"1666","The Under-Gifted",0,"False",0,"fr",5.412,92,"6.5",251,60175,"","30/04/1980","[35]"
"1667","Why Did You Pick On Me?",0,"False",0,"it",6.254,99,"6.1",95,11039,"","11/12/1980","[35, 878]"
"1668","Battle Beyond the Stars",1.1e+07,"False",2000000,"en",6.892,104,"5.7",83,14460,"A battle beyond time, beyond space.","08/09/1980","[878]"
"1669","Nine to Five",0,"False",0,"en",8.386,110,"6.9",228,19494,"Getting even is a full-time job","18/12/1980","[35]"
"1670","Nightmare City",0,"False",0,"it",4.84,92,"5.9",75,28319,"The Nightmare Becomes Reality","11/12/1980","[27]"
"1671","Inferno",0,"False",3000000,"it",6.385,107,"6.7",274,16395,"Before tenebrae, beyond suspiria there is... Inferno","07/02/1980","[27, 53]"
"1672","City of Women",0,"False",0,"it",6.099,149,"7.2",74,11936,"","28/03/1980","[12, 35, 18, 14]"
"1673","The King and the Mockingbird",0,"False",0,"fr",5.369,83,"7.9",175,22504,"","19/03/1980","[16, 14, 10751]"
"1674","The Big Red One",7206220,"False",4500000,"en",6.362,113,"6.8",145,16121,"Only chance could have thrown them together. Now, nothing can pull them apart.","28/05/1980","[18, 10752]"
"1675","Motel Hell",0,"False",3000000,"en",6.108,102,"5.9",108,30924,"You might just die...laughing!","14/08/1980","[35, 27]"
"1676","Contamination",0,"False",0,"en",5.088,95,"5.1",58,39916,"You can feel them in your blood!","02/08/1980","[12, 878, 27]"
"1677","Tom Horn",0,"False",0,"en",5.902,94,"6.9",52,5917,"See him before he sees you","28/03/1980","[28, 18, 37]"
"1678","The Exterminator",0,"False",0,"en",5.984,101,"5.6",55,37835,"A one man army. A new kind of soldier in a new kind of war.","10/09/1980","[28, 80, 18, 53]"
"1679","Fantozzi Against the Wind",0,"False",0,"it",6.034,NA,"6.6",296,41663,"","20/11/1980","[35]"
"1680","Bronco Billy",0,"False",0,"en",6.578,116,"6.3",109,21866,"The most outrageous of 'em all.","11/06/1980","[35, 10749, 37]"
"1681","The Young Master",0,"False",0,"en",4.644,101,"7",69,11563,"","09/02/1980","[28, 35]"
"1682","The Return of the King",0,"False",0,"en",4.143,98,"5.8",19,1361,"","11/05/1980","[16, 14, 10751, 10770]"
"1683","Shogun Assassin",0,"False",0,"ja",6.44,85,"6.9",79,15119,"The legend of lone wolf and cub continues!","11/11/1980","[28, 12]"
"1684","The Watcher in the Woods",5e+06,"False",0,"en",4.607,83,"6.2",68,21970,"Scared of going into the woods? You should be ...","17/04/1980","[14, 27, 878, 53]"
"1685","Permanent Vacation",0,"False",0,"en",4.857,75,"6.4",60,37997,"","01/01/1980","[18]"
"1686","City of the Living Dead",0,"False",0,"it",5.304,93,"6.2",180,24920,"And the dead shall rise and walk the earth!","11/08/1980","[27]"
"1687","Humanoids from the Deep",0,"False",0,"en",6.689,80,"5.7",88,29343,"From The Caverns Of The Deep... It Strikes!","01/05/1980","[27, 878]"
"1688","Breaker Morant",0,"False",107,"en",4.461,107,"7.3",64,13783,"","15/05/1980","[18, 36, 10752]"
"1689","Who's Singin' Over There?",0,"False",120000,"sr",6.088,86,"8.1",60,17909,"","01/01/1980","[18, 35, 12]"
"1690","Forbidden Zone",0,"False",0,"en",5.376,74,"6.7",53,16127,"","21/03/1980","[10402, 35, 14]"
"1691","Inspector Blunder",0,"False",0,"fr",5.026,100,"6.2",92,24260,"","03/12/1980","[35]"
