"","id","film","revenue","budget","language","popularity","runtime","vote.average","vote.count","tagline","release.date","genres","certification","gender","actor.name"
"517",17918,"Swamp Thing",0,10000000,"en",6.037,91,5.4,177,"Science changed him into a monster. Love changed him even more!","1982-02-19","[27, 878]","PG",1,"Adrienne Barbeau"
"518",24266,"The Man from Snowy River",20659423,3500000,"en",6.274,104,7,71,"The story of a boy suddenly alone in the world. The men who challenge him. And the girl who helps him become a man.","1982-03-02","[12, 18, 37, 10749, 10751]","PG",0,"Terence Donovan"
"519",10724,"Firefox",70687344,18000000,"en",7.427,136,6.1,253,"...the most devastating killing machine ever built... his job... steal it!","1982-06-13","[878, 28, 12, 53]","PG",2,"Freddie Jones"
"520",24226,"The Verdict",53977250,16000000,"en",6.585,129,7.4,278,"The doctors want to settle, the Church wants to settle, their lawyers want to settle, and even his own clients are desperate to settle. But Galvin is determined to defy them all. He will try the case.","1982-12-08","[18]","R",2,"Jack Warden"
"521",700,"Octopussy",187500000,27500000,"en",14.122,131,6.3,1007,"James Bond’s all time high.","1983-06-05","[28, 12, 53]","PG",1,"Maud Adams"
"522",1892,"Return of the Jedi",572700000,32350000,"en",17.193,135,8,9139,"The Empire Falls...","1983-05-25","[28, 12, 878]","PG",2,"Harrison Ford"
"523",111,"Scarface",66023329,25000000,"en",17.131,170,8.1,6310,"The world is yours...","1983-12-08","[28, 80, 18, 53]","R",2,"Steven Bauer"
"524",28468,"The Key",0,0,"it",15.38,110,5,128,"","1983-10-18","[18, 10749]","R",2,"Franco Branciaroli"
"525",10484,"The ComDads",0,0,"fr",14.598,92,6.5,205,"","1983-11-23","[35]","",2,"Gérard Depardieu"
"526",36670,"Never Say Never Again",1.6e+08,36000000,"en",12.753,134,6.1,708,"Sean Connery is James Bond 007","1983-10-07","[28, 12, 53]","PG",1,"Kim Basinger"
"527",227,"The Outsiders",33697647,10000000,"en",10.398,91,7.3,650,"They grew up on the outside of society. They weren't looking for a fight. They were looking to belong.","1983-03-25","[80, 18]","PG",2,"Ralph Macchio"
"528",11153,"National Lampoon's Vacation",61399552,15000000,"en",10.667,99,7.1,777,"Every summer Chevy Chase takes his family on a little trip. This year he went too far.","1983-07-28","[35, 12]","R",1,"Beverly D'Angelo"
"529",9531,"Superman III",75850624,39000000,"en",9.868,125,5.4,960,"If the world's most powerful computer can control even Superman...no one on earth is safe.","1983-06-17","[35, 878, 28, 12]","PG",2,"Richard Pryor"
"530",8769,"Christine",21200000,0,"en",9.245,110,6.7,921,"How do you kill something that can't possibly be alive?","1983-12-08","[27]","R",2,"John Stockwell"
"531",860,"WarGames",79567667,12000000,"en",9.462,114,7.1,967,"Is it a game, or is it real?","1983-06-03","[53, 878]","PG",2,"Dabney Coleman"
"532",837,"Videodrome",2120439,5952000,"en",7.348,88,7.3,1064,"First it controls your mind. Then it destroys your body.","1983-02-04","[27, 9648, 878]","R",1,"Sonja Smits"
"533",17692,"Jaws 3-D",87987055,20500000,"en",8.016,99,4.4,654,"A deadly new attraction.","1983-03-16","[53, 27]","PG",1,"Bess Armstrong"
"534",535,"Flashdance",92921203,4000000,"en",7.934,95,6.4,754,"She works in a man's world. She dances in the world of her dreams.","1983-04-14","[18, 10749]","R",2,"Michael Nouri"
"535",9346,"Risky Business",63541777,6200000,"en",8.857,98,6.6,651,"Time of your life, Huh Kid.","1983-08-05","[35, 18, 10749]","R",1,"Rebecca De Mornay"
"536",1621,"Trading Places",90404800,15000000,"en",12.472,116,7.1,1775,"They're not just getting rich... They're getting even.","1983-06-07","[35]","R",2,"Eddie Murphy"
"537",10489,"Cujo",21200000,5000000,"en",6.778,93,6,466,"Now there's a new name for terror...","1983-08-10","[27, 53]","R",2,"Danny Pintauro"
"538",11050,"Terms of Endearment",0,8000000,"en",9.066,132,7.1,389,"Come to laugh, come to cry, come to care, come to terms.","1983-11-20","[35, 18]","PG",1,"Debra Winger"
"539",9549,"The Right Stuff",21500000,27000000,"en",8.602,193,7.5,456,"How the future began.","1983-10-20","[18, 36]","PG",2,"Dennis Quaid"
"540",15301,"Twilight Zone: The Movie",29450919,10000000,"en",8.923,101,6.4,373,"You're travelling through another dimension. A dimension, not only of sight and sound, but of mind. A journey into a wondrous land whose boundaries are that of imagination. Next stop, the Twilight Zone!","1983-06-24","[18, 14, 27, 878, 53]","PG",2,"Albert Brooks"
"541",4543,"The Meaning of Life",0,0,"en",9.688,107,7.4,1053,"It took God six days to create the earth, and Monty Python just 90 minutes to screw it up.","1983-03-31","[35]","R",2,"Graham Chapman"
"542",10269,"Yentl",30400000,12000000,"en",7.735,132,6.6,110,"In a time when the world of study belonged only to men, there lived a girl who dared to ask why?","1983-11-18","[18, 10402, 10749]","PG",2,"Mandy Patinkin"
"543",11336,"The Dead Zone",20766616,10000000,"en",8.77,103,7.1,711,"In his mind, he has the power to see the future. In his hands, he has the power to change it.","1983-10-21","[27, 878, 53]","R",1,"Brooke Adams"
"544",14813,"Mickey's Christmas Carol",2.1e+07,3000000,"en",8.487,26,7.6,469,"He's back! Mickey Mouse - in his first new motion picture in 30 years","1983-10-19","[10751, 16]","G",2,"Wayne Allwine"
"545",232,"Rumble Fish",2494480,10000000,"en",7.806,94,7.2,320,"Rusty James can't live up to his brother's reputation. His brother can't live it down.","1983-10-20","[28, 80, 18]","R",2,"Mickey Rourke"
"546",11030,"Zelig",11798616,0,"en",6.358,79,7.6,470,"You wanted more when it was all over!","1983-07-15","[35]","PG",1,"Mia Farrow"
"547",21519,"Project A",0,0,"cn",7.847,106,7.2,176,"Rip-roaring adventure on the old China Coast.","1983-12-22","[28, 12, 35]","PG-13",2,"Sammo Hung"
"548",11948,"Merry Christmas, Mr. Lawrence",0,0,"ja",5.972,124,7.5,187,"Java, 1942— A clash of cultures, a test of the human spirit.","1983-05-28","[18, 36, 10752]","R",0,"Tom Conti"
