"","id","film","popularity","vote.average","vote.count","release.date","gender","year","gen1","genreF","pop1","name"
"201",762,"Monty Python and the Holy Grail",21.969,7.8,3472,"1975-05-25",2,"1975","gm2","12",3.08963236874704,"Adventure"
"202",578,"Jaws",21.501,7.6,5836,"1975-06-18",2,"1975","gm2","12",3.06809944567989,"Adventure"
"203",5336,"SalÃ², or the 120 Days of Sodom",13.807,6.4,813,"1975-11-22",2,"1975","gm2","18",2.62517570993402,"Drama"
"204",20850,"Ilsa: She Wolf of the SS",11.614,5,86,"1975-10-01",0,"1975","gm2","27",2.45221126694986,"Horror"
"205",510,"One Flew Over the Cuckoo's Nest",16.893,8.4,6297,"1975-11-18",1,"1975","gm2","18",2.82689933494059,"Drama"
"206",1396,"Mirror",8.177,8.2,403,"1975-03-07",2,"1975","gm2","18",2.10132533517984,"Drama"
"207",288987,"That Malicious Age",15.199,5,7,"1975-03-11",1,"1975","gm2","18",2.72122963621432,"Drama"
"208",28209,"Emmanuelle II",10.341,5.2,40,"1975-12-15",2,"1975","gm2","18",2.33611657620284,"Drama"
"209",3175,"Barry Lyndon",12.561,8,1361,"1975-11-26",1,"1975","gm2","18",2.53059677570512,"Drama"
"210",36685,"The Rocky Horror Picture Show",12.758,7.6,1590,"1975-08-14",1,"1975","gm2","35",2.54615852581976,"Comedy"
"211",983,"The Man Who Would Be King",7.062,7.5,286,"1975-12-03",2,"1975","gm2","12",1.95472829750619,"Adventure"
"212",968,"Dog Day Afternoon",13.97,7.8,1485,"1975-08-11",2,"1975","gm2","80",2.63691217326887,"Crime"
"213",11020,"Picnic at Hanging Rock",6.151,7.3,349,"1975-09-02",1,"1975","gm2","18",1.81661467022623,"Drama"
"214",106909,"The School Teacher",6.182,5.8,16,"1975-07-11",2,"1975","gm2","35",1.82164184370992,"Comedy"
"215",20914,"My Friends",7.369,8.3,368,"1975-08-15",2,"1975","gm2","35",1.99728201178486,"Comedy"
"216",11963,"Three Days of the Condor",7.579,7.3,534,"1975-09-24",1,"1975","gm2","53",2.02538126482989,"Thriller"
"217",20126,"Deep Red",8.149,7.9,741,"1975-03-07",1,"1975","gm2","27",2.09789522033808,"Horror"
"218",11686,"Love and Death",5.109,7.7,443,"1975-06-10",1,"1975","gm2","35",1.63100369034866,"Comedy"
"219",11843,"The Return of the Pink Panther",6.588,6.9,254,"1975-05-21",2,"1975","gm2","9648",1.88524981231539,"Mystery"
"220",11484,"Rollerball",7.04,6.2,230,"1975-06-25",2,"1975","gm2","28",1.95160817016995,"Action"
"221",4561,"The Story of O",5.82,5.7,70,"1975-08-28",2,"1975","gm2","18",1.76130026174335,"Drama"
"222",27429,"Shivers",6.997,6.4,257,"1975-10-10",2,"1975","gm2","27",1.94548148576376,"Horror"
"223",11326,"Tommy",6.425,6.4,164,"1975-03-19",2,"1975","gm2","18",1.86019663078128,"Drama"
"224",17538,"Rooster Cogburn",6.132,6.6,93,"1975-10-17",1,"1975","gm2","28",1.81352096100957,"Action"
"225",12259,"Sholay",6.309,7.1,129,"1975-08-15",2,"1975","gm2","28",1.84197718538867,"Action"
"226",10711,"French Connection II",5.457,6.8,198,"1975-05-18",2,"1975","gm2","28",1.69689918820409,"Action"
"227",3121,"Nashville",6.883,7.4,179,"1975-06-11",1,"1975","gm2","18",1.92905460341623,"Drama"
"228",4917,"A Boy and His Dog",6.492,6.3,174,"1975-11-20",1,"1975","gm2","18",1.87057064965234,"Drama"
"229",44132,"The Beast",5.149,5.8,71,"1975-08-20",0,"1975","gm2","27",1.638802521064,"Horror"
